,Name,Address,Beds,Baths,sqft,Rent,Amenities,Distance by vehicle,Time taken by car,Time taken by walk,Distance by walk,Cost Per Person
12,1400 N Perkins Rd #B9,"1400 N Perkins Rd #B9, Stillwater, OK 74075",2,1.5,1124.0,750.0,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Additional Storage, Storage, Dishwasher, Dryer, Washer",2.2,9,41,2.0,375.0
13,103 E 32nd Ave,"103 E 32nd Ave, Stillwater, OK 74074",5,2.5,2272.25,2500.0,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer",3.4,9,62,3.1,500.0
14,1108 S Prairie Rd,"1108 S Prairie Rd, Stillwater, OK 74074",3,2.0,1074.0,2500.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",6.3,13,117,6.0,833.33
15,2421 S Western Rd,"2421 S Western Rd, Stillwater, OK 74074",5,3.0,2100.0,2500.0,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Additional Storage, Attic, Storage, Ceiling Fan, Dishwasher, Disposal, Dryer, Refrigerator, Washer, Fireplace, Double Paned Windows, Floors: Tile, Hardwood",2.9,8,56,2.8,500.0
16,1019 S McDonald St,"1019 S McDonald St, Stillwater, OK 74074",3,2.0,1616.0,1500.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",1.4,5,29,1.4,500.0
17,1017 S Main St #1,"1017 S Main St #1, Stillwater, OK 74074",1,1.0,700.0,525.0,"Heating: Forced Air, Heating Fuel: Forced Air",1.7,7,29,1.4,525.0
18,304 S Lowry St,"304 S Lowry St, Stillwater, OK 74074",3,2.0,904.0,1400.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer",1.7,6,21,1.0,466.67
19,924 S Kings St,"924 S Kings St, Stillwater, OK 74074",5,2.0,2409.0,3000.0,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer, Fireplace",1.5,5,29,1.5,600.0
20,1316 N Ramsey St,"1316 N Ramsey St, Stillwater, OK 74075",5,3.0,2538.0,3000.0,"Heating: Forced Air, Gas, Heating Fuel: Forced Air, Attic, Ceiling Fan, Dryer, Washer, Jetted Bath Tub, Double Paned Windows, Disabled Access, Floors: Hardwood, Security System",1.2,4,21,1.0,600.0
21,1126 S Husband St,"1126 S Husband St, Stillwater, OK 74074",4,4.0,1836.0,2000.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer",1.7,6,29,1.4,500.0
22,2310 E 12th Ave,"2310 E 12th Ave, Stillwater, OK 74074",2,2.0,1100.0,900.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",3.4,10,61,3.1,450.0
23,409 S Debra Ct,"409 S Debra Ct, Stillwater, OK 74078",2,2.0,1150.0,1300.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",3.8,10,71,3.5,650.0
24,927 E Krayler Ave,"927 E Krayler Ave, Stillwater, OK 74075",3,2.0,1278.0,1500.0,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Attic, Ceiling Fan, Dryer, Washer, Floors: Tile, Linoleum Vinyl",2.7,9,50,2.5,500.0
25,230 S West St,"230 S West St, Stillwater, OK 74074",5,3.0,2042.0,1750.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer, Floors: Hardwood",0.9,4,10,0.5,350.0
26,106 W Burris Rd,"106 W Burris Rd, Stillwater, OK 74075",3,2.0,2428.0,1900.0,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer, Disabled Access",5.2,10,99,5.0,633.33
